
2025/02/15 (20:57:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (20:57:53) | ===> btop++ v.1.4.0
2025/02/15 (20:57:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (20:57:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/17 (02:09:21) | ===> btop++ v.1.4.0
2025/02/17 (02:09:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/17 (02:09:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/17 (05:29:56) | ===> btop++ v.1.4.0
2025/02/17 (05:29:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/17 (05:29:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/25 (00:16:09) | ===> btop++ v.1.4.0
2025/02/25 (00:16:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/25 (00:16:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/25 (01:58:17) | ===> btop++ v.1.4.0
2025/02/25 (01:58:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/25 (01:58:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/25 (02:16:09) | ===> btop++ v.1.4.0
2025/02/25 (02:16:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/25 (02:16:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/28 (01:22:09) | ===> btop++ v.1.4.0
2025/02/28 (01:22:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/28 (01:22:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/01 (23:38:51) | ===> btop++ v.1.4.0
2025/03/01 (23:38:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/01 (23:38:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/02 (18:47:59) | ===> btop++ v.1.4.0
2025/03/02 (18:47:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/02 (18:47:59) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/02 (19:17:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/02 (19:17:51) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/03/02 (19:17:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/03/02 (19:17:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/02 (19:17:51) | WARNING: ROCm SMI: Failed to get GPU temperature

2025/03/03 (03:20:35) | ===> btop++ v.1.4.0
2025/03/03 (03:20:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/03 (03:20:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/03 (15:37:03) | ===> btop++ v.1.4.0
